Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance
POWIS CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,9421 NUMBER THREE RD,NOT APPLICABLE,COPENHAGEN,NY,13626,3156882529,12/31/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRASSOS ENERGY LLC,NO DBA,LLC,No,No,None Listed,13906 34TH RD,APT 1,FLUSHING,NY,11354,9173450739,2/6/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRATT BROTHERS INC,NO DBA,Corporation,No,No,None Listed,333 MARCUS BLVD,NOT APPLICABLE,HAUPPAUGE,NY,11788,6316676800,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
PRECAST SERVICES INC,NO DBA,Corporation,No,No,None Listed,8200 BOYLE PKWY,NOT APPLICABLE,TWINSBURG,OH,44087,3304252880,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PRECISE ENTERPRISES II LTD,NO DBA,Corporation,No,No,None Listed,1903 ALBANY POST RD,NOT APPLICABLE,WALLKILL,NY,12589,8456293461,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISE PAINTING AND WALLCOVERING INC,PRECISE PAINTING AND WALLCOVERING INC,Corporation,No,No,None Listed,302 MAIN ST,NOT APPLICABLE,HUDSON FALLS,NY,12839,5187937365,11/29/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
PRECISION ASPHALT MILLING LLC,NO DBA,LLC,No,No,None Listed,2552 STATE RT 12B,NOT APPLICABLE,DEANSBORO,NY,13328,3153161965,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION BUILDERS GROUP LTD,NO DBA,Corporation,Yes,No,None Listed,141 FLUSHING AVE,BUILDING 77 SUITE 1017,BROOKLYN,NY,11205,6467669935,1/29/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION COATINGS LLC,NO DBA,Sole Proprietorship,No,No,None Listed,1263 ROUTE 9,NOT APPLICABLE,CASTLETON-ON-HUDSON,NY,12033,5454724191,12/9/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION CONCRETE PUMPING INC,NO DBA,LLC,Yes,No,None Listed,90 INDUSTRIAL PARK RD,NOT APPLICABLE,ALBANY,NY,12206,5184359292,12/22/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION CONSTRUCTOR CORP,PRECISION CONSTRUCTOR CORP,Corporation,Yes,No,None Listed,90 AIRPARK DR,SUITE 101A,ROCHESTER,NY,14624,5854230283,2/10/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION ELECTRICAL CONTRACTOR CORP,NO DBA,Corporation,Yes,No,None Listed,3418 NORTHERN BLVD,FLOOR 4 UNIT 29,LONG ISLAND CITY,NY,11101,6466706936,12/10/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION ENVIRONMENTAL INC,PRECISION GROUP SERVICES,Corporation,No,No,None Listed,3615A 23RD ST,NOT APPLICABLE,LONG ISLAND CITY,NY,11106,7183832626,2/14/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION FIRE PROTECTION LLC,NO DBA,LLC,No,No,None Listed,35 REGENCY OAKS BLVD,NOT APPLICABLE,ROCHESTER,NY,14624,5856175391,1/22/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No
PRECISION INDUSTRIAL MAINTENANCE LLC,NO DBA,Corporation,No,No,None Listed,1710 ERIE BLVD,NOT APPLICABLE,SCHENECTADY,NY,12308,5183465800,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION PIPELINE SOLUTIONS LLC,NO DBA,LLC,No,No,None Listed,617 LITTLE BRITAIN RD,SUITE 200,NEW WINDSOR,NY,12553,8455668332,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION PIPING  UTILITIES INC,ADVANCE PLUMBING AND PIPING,Corporation,No,No,None Listed,1 MAYNARD ST,NOT APPLICABLE,ROCHESTER,NY,14615,5852595014,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
PRECISION PLUMBING  HEATING CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,92 YALE RD,NOT APPLICABLE,HARTSDALE,NY,10530,9145577663,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION ROOFING INC,NO DBA,Corporation,No,No,None Listed,22 KERR LN,NOT APPLICABLE,SOUTHFIELDS,NY,10975,8453512009,1/9/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRECISION TEST AND BALANCE OF NY CORP,NO DBA,Corporation,No,No,None Listed,244 MAPLE PL,NOT APPLICABLE,MINEOLA,NY,11501,7189942300,1/28/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
PRECISION TRENCHLESS LLC,NO DBA,Corporation,No,No,None Listed,1710 ERIE BLVD,NOT APPLICABLE,SCHENECTADY,NY,12308,5183465800,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PRECISION WINDOW SYSTEMS INC,PRECISION WINDOW SYSTEMS INC,Corporation,No,No,None Listed,1632 EAST MARKET ST,NOT APPLICABLE,YORK,PA,17403,7178469109,1/10/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PREET  D CONSTRUCTION INC,NO DBA,Corporation,Yes,No,None Listed,9421 150TH ST,NOT APPLICABLE,JAMAICA,NY,11435,7187503301,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREFERRED CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,199 BROADWAY,NOT APPLICABLE,HUNTINGTON STATION,NY,11746,6313855160,12/11/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PREISER RIGGING AND CRANE SERVICE INC,NO DBA,Corporation,No,No,None Listed,49 MT TOM RD,NOT APPLICABLE,PAWLING,NY,12564,8458559515,1/16/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRELOAD LLC,NO DBA,LLC,No,No,None Listed,4000 TOWER RD,NOT APPLICABLE,LOUISVILLE,KY,40219,6312318100,1/24/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
PREMIER COMPACTION SYSTEMS LLC,NO DBA,LLC,No,No,None Listed,264 LACKAWANNA AVE,NOT APPLICABLE,WOODLAND PARK,NJ,7424,9733056646,2/13/2025,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER CONSTRUCTION INC,NO DBA,Corporation,Yes,No,None Listed,20408 JAMAICA AVE,NOT APPLICABLE,HOLLIS,NY,11423,7184686900,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER EXCAVATION  SEPTIC LLC,NO DBA,LLC,No,No,None Listed,16462 STATE ROUTE 22,NOT APPLICABLE,STEPHENTOWN,NY,12168,5182252262,1/17/2025,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER FLOORS INC,NO DBA,Corporation,No,No,None Listed,4251 OLD RT 22,UNIT 7,BREWSTER,NY,10509,8458783924,1/14/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER MECHANICAL SERVICES INC,NO DBA,Corporation,Yes,No,None Listed,1493 CHURCH ST,NOT APPLICABLE,HOLBROOK,NY,11741,6319561112,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PREMIER POLISHING CORP,NO DBA,Corporation,No,No,None Listed,1523B CHURCH ST,NOT APPLICABLE,HOLBROOK,NY,11741,6314323213,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No
PREMIER POOL RENOVATIONS INC,NO DBA,Corporation,No,No,None Listed,313 HYDE PARK,NOT APPLICABLE,DOYLESTWON,PA,18902,6108258808,2/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER ROOF SYSTEMS INC,NO DBA,Corporation,No,No,None Listed,255 B ROSE RD,NOT APPLICABLE,HARRISVILLE,NY,13648,3155432049,1/9/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER STAFFING SOURCE INC,NO DBA,Corporation,Yes,No,None Listed,4640 FORBES BLVD,SUITE 200A,LANHAM,MD,20706,3013060774,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER SURFACES NY INC,SOLID SURFACES NY,Corporation,No,No,None Listed,1 TOWNLINE CIR,NOT APPLICABLE,ROCHESTER,NY,14623,5852925340,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIER TESTING  BALANCING LLC,PREMIER TESTING  BALANCING LLC,LLP,Yes,No,None Listed,169 COMMACK RD,1034,COMMACK,NY,11725,6462671417,12/11/2024,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,No,Yes
PREMIER TILE  GRANITE INC,NO DBA,Corporation,No,No,None Listed,140 HIDDEN POND CIR,NOT APPLICABLE,SMITHTOWN,NY,11787,5169030460,1/29/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PREMIUM MILLWORK INC,NO DBA,Corporation,Yes,No,None Listed,43 COFFEY ST,NOT APPLICABLE,BROOKLYN,NY,11231,7184227774,12/31/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PREMIUM TECHNICAL SERVICES CORPORATION,NO DBA,Corporation,No,No,None Listed,13 ROCKWOOD AVE,NOT APPLICABLE,MASSAPEQUA,NY,11758,5164096000,1/7/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRESENTATION CONCEPTS CORPORATION,NO DBA,Corporation,Yes,No,None Listed,6517 BASILE ROWE,NOT APPLICABLE,EAST SYRACUSE,NY,13057,3154371314,12/9/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,NO DBA,LLC,No,No,None Listed,ONE PENN PLAZA,SUITE 2501,NEW YORK,NY,10119,2123244342,1/9/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRESTIGE DEVELOPMENT SERVICES INC,NO DBA,Unknown,Yes,No,None Listed,169 LINCOLN AVE,STE 204,BRONX,NY,10454,7184012744,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRESTIGE ELECTRIC LLC,NO DBA,LLC,No,No,None Listed,15 LOCKHART LN,NOT APPLICABLE,HIGHLAND,NY,12528,8456912537,12/9/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRESTIGE FENCING INC,PRESTIGE FENCING INC,Corporation,Yes,No,None Listed,8706 ROCKAWAY BEACH BLVD,NOT APPLICABLE,ROCKAWAY BEACH,NY,11693,3472304486,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRESTIGE PAVERS OF NYC INC,NO DBA,Corporation,Yes,No,None Listed,16248A 14TH AVE,NOT APPLICABLE,WHITESTONE,NY,11357,7183572696,12/20/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PRESTIGE PLUMBING  HEATING INC,NO DBA,Corporation,No,No,None Listed,26 JOHNSON ST,NOT APPLICABLE,STATEN ISLAND,NY,10309,7184478358,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRESTIGE STONE  PAVERS CORP,PRESTIGE STONE AND PAVERS CORP,Corporation,No,No,None Listed,1532 COLLEGE PT BLVD,NOT APPLICABLE,COLLEGE POINT,NY,11356,7182251212,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRICE FLOORING INSTALLATION,PRICE FLOORING INSTALLATION,Sole Proprietorship,No,No,None Listed,233 MAIN ST,NOT APPLICABLE,MIDDLEBURGH,NY,12122,5189306931,12/19/2024,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRIDE CARPET INC,PRIDE FLOORING SERVICES,Corporation,Yes,No,None Listed,371 CENTRAL AVE,NOT APPLICABLE,BOHEMIA,NY,11716,6312443634,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRIDE SERVICE INC,PRIDE COMMERCIAL APPLIANCE SERVICE,Corporation,No,No,None Listed,1465 JEFFERSON RD,NOT APPLICABLE,ROCHESTER,NY,14623,5852790510,2/5/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRIMA PAVING CORP,NO DBA,Corporation,Yes,No,None Listed,1 BURNS AVE,NOT APPLICABLE,HICKSVILLE,NY,11801,5166818700,12/20/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
PRIME BATHTUB AND TILES REFINISHING CORP,NO DBA,Corporation,No,Yes,"sukhrob  Narzikulov, Zulfiia  Dzhuraeva",6262 WOODHAVEN BLVD,S41,REGO PARK,NY,11374,9299285859,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRIME BUILDWORKS LLC,NO DBA,LLC,No,No,None Listed,9935 59TH AVE,APT 6L,CORONA,NY,11368,6462108523,2/10/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRIME HIGHWAY CONTRACTORS LLC,NO DBA,LLC,No,No,None Listed,50 COLVIN AVE,SUITE 103,ALBANY,NY,12206,5184594040,12/12/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
PRIME POINT INTERIORS INC,NO DBA,Corporation,Yes,No,None Listed,416 MARLBOROUGH RD,NOT APPLICABLE,YONKERS,NY,10701,9149681726,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRIMIANO CONSTRUCTION INC,PRIMIANO CONSTRUCTION INC,Corporation,No,No,None Listed,2756 NEW SCOTLAND RD,NOT APPLICABLE,VOORHEESVILLE,NY,12186,5182293296,1/9/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRIMIANO CORP,PRIMIANO ELECTRIC CO,Corporation,No,No,None Listed,402 MCLEAN AVE,NOT APPLICABLE,YONKERS,NY,10705,2129576110,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PRINCE CONTRACTING  DEVELOPMENT INC,NO DBA,Corporation,Yes,No,None Listed,3039 WILSON AVE,APT B1,BRONX,NY,10469,2127862922,1/29/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRISMATIC DEVELOPMENT CORPORATION,NO DBA,Corporation,No,No,None Listed,60 US HWY 46,NOT APPLICABLE,FAIRFIELD,NJ,7004,9738821133,12/11/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PRISTINE CONSTRUCTION NY LLC,NO DBA,LLC,No,No,None Listed,16519 HILLSIDE AVE,2ND FLOOR,JAMAICA,NY,11432,6032711473,1/7/2025,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,No,Yes
PRISTINE SERVICES INC,NO DBA,Corporation,Yes,No,None Listed,193 E LINCOLN AVE,NOT APPLICABLE,WEST HARRISON,NY,10604,9143812200,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PRITCHARD DEVELOPMENT CORP,NO DBA,Corporation,No,No,None Listed,618 CONKLIN RD,NOT APPLICABLE,BINGHAMTON,NY,13903,6076694633,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRO ARCHITECTURAL LLC,NO DBA,LLC,No,No,None Listed,30 HAMILTON RD,NOT APPLICABLE,NEWTON,NJ,7860,8622902285,12/5/2024,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
PRO ARCHITECTURAL LLC,NO DBA,LLC,No,No,None Listed,30 HAMILTON RD,NOT APPLICABLE,NEWTON,NJ,7860,8622902285,12/5/2024,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
PROBUILDERO CORP,NO DBA,Corporation,No,No,None Listed,1721 BATH AVE,NOT APPLICABLE,BROOKLYN,NY,11214,9179815840,12/12/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRO CARPET INC,NO DBA,Corporation,No,No,None Listed,5580 W RDG RD,NOT APPLICABLE,SPENCERPORT,NY,14559,5853525905,12/3/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROCLEAN AND ASSOCIATES LIMITED LIABILITY COMPANY,NO DBA,LLC,Yes,No,None Listed,21 PINE ECHO DR,NOT APPLICABLE,POUGHKEEPSIE,NY,12601,9144890231,1/6/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROCOMM SYSTEMS INC,NO DBA,Corporation,No,No,None Listed,823 UNIONTOWN RD,NOT APPLICABLE,PHILLIPSBURG,NJ,8865,9083876930,2/11/2025,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
PROCON CONTRACTING LLC,NO DBA,LLC,No,No,None Listed,PO BOX 1037,NOT APPLICABLE,VESTAL,NY,13851,6077488331,11/29/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRO CON GROUP INC,NO DBA,Corporation,No,No,None Listed,520 INDUSTRIAL LOOP,NOT APPLICABLE,STATEN ISLAND,NY,10309,7189668080,12/15/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRO DOCK AND DOOR LLC,NO DBA,LLP,Yes,No,None Listed,1492 MILESTRIP RD,NOT APPLICABLE,NORTH COLLINS,NY,14111,7169135630,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
PRODUCTION PAINTING  SERVICES INC,NO DBA,Corporation,No,No,None Listed,8256 NEW FLOYD RD,NOT APPLICABLE,ROME,NY,13440,3158658272,12/21/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PRODUCTION RESOURCE GROUP LLC,PRG SCENIC TECHNOLOGIES,LLC,No,No,None Listed,539 TEMPLE HL RD,NOT APPLICABLE,NEW WINDSOR,NY,12553,8455675700,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROFESSIONAL DRAINAGE SYSTEMS LLC,NO DBA,LLC,No,No,None Listed,6190 QUAKER HL RD,NOT APPLICABLE,ELBA,NY,14058,5854093928,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROFESSIONAL DRYWALL CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,189 BROOKDALE DR,NOT APPLICABLE,SPRINGFIELD,MA,1104,4137364487,12/9/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROFESSIONAL FURNISHINGS  EQUIPMENT INC,NO DBA,Corporation,No,No,None Listed,2191 GEORGE URBAN BLVD,NOT APPLICABLE,DEPEW,NY,14043,7166856885,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROFESSIONAL HOME INSPECTION SERVICE,NO DBA,Corporation,No,No,None Listed,1278 VESTAL AVE,NOT APPLICABLE,BINGHAMTON,NY,13903,6077731519,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROFESSIONAL TOUCH NYC LLC,PROFESSIONAL TOUCH NYC LLC,LLC,Yes,No,None Listed,14928 15TH DR,NOT APPLICABLE,WHITESTONE,NY,11357,9174067298,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROFESSIONAL TRADESMEN INC,NO DBA,Corporation,Yes,No,None Listed,5910 FIRESTONE DR,NOT APPLICABLE,SYRACUSE,NY,13206,3156928067,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PROFEX INC,NO DBA,Corporation,No,No,None Listed,264 NORTH PLANK RD,NOT APPLICABLE,NEWBURGH,NY,12550,8455658845,12/6/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROFTECH LLC,NO DBA,LLC,Yes,No,None Listed,10 SKYLINE DR,NOT APPLICABLE,HAWTHORNE,NY,10532,9144470325,1/9/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROGRADE CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,5824 64TH ST,NOT APPLICABLE,MASPETH,NY,11378,9294633714,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,No,No,No,Yes,No
PROGRESSIVE ROOFING INCORPORATED,NO DBA,Corporation,No,No,None Listed,331 GROTE ST,NOT APPLICABLE,BUFFALO,NY,14207,7168738711,12/14/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
PROJECT ADVENTURE INC,NO DBA,Corporation,No,No,None Listed,719 CABOT ST,NOT APPLICABLE,BEVERLY,MA,1915,9785244500,1/9/2025,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
PROJECT SOLUTIONS DEVELOPMENT GROUP INC,NO DBA,Corporation,No,No,None Listed,4705 CTR BLVD,PH3,LONG ISLAND CITY,NY,11109,9173647166,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
PROJECTSPAN INC,NO DBA,Corporation,Yes,No,None Listed,197 WAVERLY AVE,NOT APPLICABLE,BROOKLYN,NY,11205,7183891025,2/11/2025,Yes,Not Applicable,Yes,No,Yes,State Law,New York,8/19/2021,8/19/2022,No,No,No,No,No,Yes,No
PROLINESTRIPING,PROLINESTRIPING,Sole Proprietorship,No,No,None Listed,3525 COUNTY ROUTE 10,NOT APPLICABLE,DE PEYSTER,NY,13633,3152769783,12/9/2024,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,No,Yes
